mon_pluviometrico_hist_chuva_mm;RAI;SPI;Data
1.4785714285714286;-2.26153697808066;1.4785714285714286;1981-09-30
0.19999999999999998;-3.139077431347017;0.19999999999999998;1981-10-31
16.398809523809526;-1.1096160882119404;16.398809523809526;1981-11-30
67.97023809523809;1.1154240149925025;67.97023809523809;1981-12-31
39.77411764705882;-2.070568358441679;39.77411764705882;1982-01-31
55.30722891566265;-1.9867704723715878;55.30722891566265;1982-02-28
115.34939759036145;-0.628090677296034;115.34939759036145;1982-03-31
80.70823529411764;-0.7834952950249744;80.70823529411764;1982-04-30
44.525;-0.5153088597115679;44.525;1982-05-31
12.111764705882353;-2.219746473443827;12.111764705882353;1982-06-30
10.060714285714287;-2.4872204391955552;10.060714285714287;1982-07-31
5.575294117647059;-1.3715433254199267;5.575294117647059;1982-08-31
5.589837398373984;0.7310227332247229;5.589837398373984;1982-09-30
4.987937464142283;-1.7311552615681725;4.987937464142283;1982-10-31
1.4011904761904763;-3.365302329510154;1.4011904761904763;1982-11-30
31.22309236947791;-1.1443298191959201;31.22309236947791;1982-12-31
72.41785714285714;-0.4591198798096586;72.41785714285714;1983-01-31
122.64698795180723;1.2056829127442754;122.64698795180723;1983-02-28
101.79879518072289;-1.1472137263708992;101.79879518072289;1983-03-31
35.46585365853659;-2.66002084402931;35.46585365853659;1983-04-30
6.239024390243902;-3.671902237557848;6.239024390243902;1983-05-31
13.643373493975902;-1.9981600820515997;13.643373493975902;1983-06-30
7.109876543209877;-3.050281210067347;7.109876543209877;1983-07-31
6.291463414634147;-1.0365544805973632;6.291463414634147;1983-08-31
0.09024390243902439;-3.369543747881836;0.09024390243902439;1983-09-30
1.18;-2.8509024631657147;1.18;1983-10-31
12.460240963855423;-1.701988442976385;12.460240963855423;1983-11-30
18.183333333333334;-2.263432429572526;18.183333333333334;1983-12-31
38.571951219512194;-2.1299129461223236;38.571951219512194;1984-01-31
26.688095238095237;-3.505154254532521;26.688095238095237;1984-02-29
205.91904761904763;2.2644286733521546;205.91904761904763;1984-03-31
263.65;5.524330080730857;263.65;1984-04-30
42.785714285714285;-0.6587090912704548;42.785714285714285;1984-05-31
8.536904761904761;-2.7369414130893626;8.536904761904761;1984-06-30
29.41686746987952;0.9611370976100676;29.41686746987952;1984-07-31
17.211904761904762;2.7484638087805386;17.211904761904762;1984-08-31
11.939285714285713;4.364162321694388;11.939285714285713;1984-09-30
8.482142857142858;-0.7036628861121773;8.482142857142858;1984-10-31
25.771428571428572;0.17973924310829073;25.771428571428572;1984-11-30
24.53855421686747;-1.7180125134092747;24.53855421686747;1984-12-31
228.44285714285715;4.419631138165314;228.44285714285715;1985-01-31
206.07738095238096;4.570786212619272;206.07738095238096;1985-02-28
234.03253012048194;3.1226861843867737;234.03253012048194;1985-03-31
318.23214285714283;7.362343877222768;318.23214285714283;1985-04-30
64.44698795180723;0.83529033696444;64.44698795180723;1985-05-31
56.43333333333334;2.8236777615673954;56.43333333333334;1985-06-30
48.13855421686747;3.8076960785905842;48.13855421686747;1985-07-31
16.746913580246915;2.601640230493107;16.746913580246915;1985-08-31
1.7296296296296296;-2.06117057955399;1.7296296296296296;1985-09-30
3.5646341463414632;-2.149686270057553;3.5646341463414632;1985-10-31
11.429268292682927;-1.8570497805216577;11.429268292682927;1985-11-30
137.15243902439025;4.411286945173627;137.15243902439025;1985-12-31
52.85;-1.425081320195633;52.85;1986-01-31
131.4987012987013;1.5627102348255213;131.4987012987013;1986-02-28
269.0457894736842;4.1915823207567815;269.0457894736842;1986-03-31
118.59342105263158;0.6396557271608276;118.59342105263158;1986-04-30
32.276712328767125;-1.5251528858128065;32.276712328767125;1986-05-31
23.82837837837838;-0.524638582180767;23.82837837837838;1986-06-30
31.09583333333333;1.2164172666441462;31.09583333333333;1986-07-31
10.814084507042253;0.728316115420789;10.814084507042253;1986-08-31
6.036619718309859;0.9866705396521803;6.036619718309859;1986-09-30
12.908450704225352;0.28009987174095974;12.908450704225352;1986-10-31
37.86901408450704;1.2696708570699293;37.86901408450704;1986-11-30
14.967142857142857;-2.5394534164171816;14.967142857142857;1986-12-31
49.28333333333333;-1.6011487580125328;49.28333333333333;1987-01-31
71.38857142857142;-1.1335772925194956;71.38857142857142;1987-02-28
201.84109589041097;2.139935640496461;201.84109589041097;1987-03-31
61.35138888888889;-1.5863623306320835;61.35138888888889;1987-04-30
26.367123287671234;-2.0123853341394664;26.367123287671234;1987-05-31
38.01780821917808;1.0292698534956903;38.01780821917808;1987-06-30
32.52361111111111;1.4335052732486588;32.52361111111111;1987-07-31
6.163888888888889;-1.096227581898941;6.163888888888889;1987-08-31
3.986111111111111;-0.26030103663172;3.986111111111111;1987-09-30
2.2624999999999997;-2.532586745761368;2.2624999999999997;1987-10-31
6.664285714285715;-2.5737172467367455;6.664285714285715;1987-11-30
25.83688128772636;-1.6065870484069409;25.83688128772636;1987-12-31
77.82685421994884;-0.19210634994349948;77.82685421994884;1988-01-31
60.32535211267606;-1.7205347097844381;60.32535211267606;1988-02-29
243.0847222222222;3.3990344405037622;243.0847222222222;1988-03-31
180.1605633802817;2.7128842793079566;180.1605633802817;1988-04-30
24.011267605633805;-2.2066203856601567;24.011267605633805;1988-05-31
33.7768115942029;0.616027340193079;33.7768115942029;1988-06-30
27.13;0.6134278755366313;27.13;1988-07-31
2.5828571428571427;-2.7712584620592926;2.5828571428571427;1988-08-31
3.0857142857142854;-0.9788964395669386;3.0857142857142854;1988-09-30
7.036619718309859;-1.1287277682943564;7.036619718309859;1988-10-31
