mon_pluviometrico_hist_chuva_mm;RAI;SPI;Data
79.8;0.2005703199900493;79.8;1981-09-30
18.572727272727274;-2.3840327611115337;18.572727272727274;1981-10-31
42.79;0.5242297949024395;42.79;1981-11-30
167.4090909090909;6.145735082187588;167.4090909090909;1981-12-31
100.0909090909091;0.4063110159167574;100.0909090909091;1982-01-31
110.99090909090908;0.4401294863106352;110.99090909090908;1982-02-28
74.0;-2.818078306733589;74.0;1982-03-31
115.6;-2.4077472360524186;115.6;1982-04-30
308.94545454545454;0.7885198545066677;308.94545454545454;1982-05-31
343.2909090909091;0.6204883804820501;343.2909090909091;1982-06-30
212.13;-1.3528725090113447;212.13;1982-07-31
141.13;-0.5333032108030313;141.13;1982-08-31
156.28;3.007095305616204;156.28;1982-09-30
18.844444444444445;-2.353366710816699;18.844444444444445;1982-10-31
24.455555555555556;-1.2890413307326951;24.455555555555556;1982-11-30
38.019999999999996;-0.9677442437278325;38.019999999999996;1982-12-31
74.24;-0.6412555770002087;74.24;1983-01-31
178.4;2.769712710885915;178.4;1983-02-28
360.93;4.462265196603342;360.93;1983-03-31
80.7;-3.1539524569624553;80.7;1983-04-30
182.9;-1.6302703312273843;182.9;1983-05-31
117.28;-3.3127988227308696;117.28;1983-06-30
162.73000000000002;-2.6233038036249816;162.73000000000002;1983-07-31
147.1;-0.3173649243734062;147.1;1983-08-31
38.62;-2.078880610614317;38.62;1983-09-30
74.81;3.132192921423835;74.81;1983-10-31
23.6;-1.3870187561764526;23.6;1983-11-30
27.3875;-1.7815155392729736;27.3875;1983-12-31
152.13750000000002;2.084731780298301;152.13750000000002;1984-01-31
46.1375;-2.2257318397365524;46.1375;1984-02-29
96.44444444444444;-2.124795977733409;96.44444444444444;1984-03-31
450.925;4.545894531621798;450.925;1984-04-30
376.25;1.8926963664131526;376.25;1984-05-31
171.51;-2.370673028699632;171.51;1984-06-30
364.09;2.058740364499848;364.09;1984-07-31
278.28;3.8345367647677793;278.28;1984-08-31
98.59;0.8900918220809941;98.59;1984-09-30
58.24;1.6541165437082839;58.24;1984-10-31
43.21111111111111;0.5554178609734082;43.21111111111111;1984-11-30
9.6625;-3.1381199327399503;9.6625;1984-12-31
49.28888888888889;-1.8486686545687543;49.28888888888889;1985-01-31
88.57777777777778;-0.4132852309456141;88.57777777777778;1985-02-28
247.77;1.882001638031402;247.77;1985-03-31
263.53000000000003;0.7209210225395273;263.53000000000003;1985-04-30
316.63;0.914590011258819;316.63;1985-05-31
259.19;-0.847427783988975;259.19;1985-06-30
459.79999999999995;4.041966055864697;459.79999999999995;1985-07-31
110.07777777777778;-1.6564797026788425;110.07777777777778;1985-08-31
85.41;0.4064359733551477;85.41;1985-09-30
12.82;-3.033286625941065;12.82;1985-10-31
27.35;-0.957572248549592;27.35;1985-11-30
50.08;-0.04471750267216303;50.08;1985-12-31
60.1875;-1.321272278339663;60.1875;1986-01-31
117.0625;0.6499569166698013;117.0625;1986-02-28
286.9125;2.774525200610071;286.9125;1986-03-31
305.9125;1.586002480148745;305.9125;1986-04-30
239.5857142857143;-0.4452083591308091;239.5857142857143;1986-05-31
445.04285714285714;2.4079343795163184;445.04285714285714;1986-06-30
247.81428571428572;-0.4351714301173582;247.81428571428572;1986-07-31
212.2;1.7644875893756093;212.2;1986-08-31
122.3;1.7601586030589766;122.3;1986-09-30
51.957142857142856;1.0936734098870062;51.957142857142856;1986-10-31
165.52857142857144;9.614416622484354;165.52857142857144;1986-11-30
127.35714285714286;4.037301904886572;127.35714285714286;1986-12-31
84.7;-0.13508409889946507;84.7;1987-01-31
137.56666666666666;1.358558116543281;137.56666666666666;1987-02-28
243.04285714285714;1.7742137761504424;243.04285714285714;1987-03-31
188.74285714285713;-0.8438623686519303;188.74285714285713;1987-04-30
54.24285714285714;-4.3199548374526255;54.24285714285714;1987-05-31
221.97142857142856;-1.494017792468621;221.97142857142856;1987-06-30
200.4857142857143;-1.6523313141702731;200.4857142857143;1987-07-31
70.58571428571429;-3.0849300407100233;70.58571428571429;1987-08-31
30.942857142857143;-2.525756583217316;30.942857142857143;1987-09-30
47.25714285714285;0.6744242261052866;47.25714285714285;1987-10-31
13.316666666666666;-2.5646565126465553;13.316666666666666;1987-11-30
3.4;-3.6174279730269423;3.4;1987-12-31
53.0;-1.6690837027038212;53.0;1988-01-31
45.9;-2.2358744705610203;45.9;1988-02-29
209.98000000000002;1.0203176518310344;209.98000000000002;1988-03-31
354.18;2.5712043737405077;354.18;1988-04-30
135.44;-2.622461078127395;135.44;1988-05-31
162.76;-2.5226848431523945;162.76;1988-06-30
357.82;1.9288184641252;357.82;1988-07-31
71.03999999999999;-3.0684982687347615;71.03999999999999;1988-08-31
52.379999999999995;-1.2779298536154176;52.379999999999995;1988-09-30
21.224999999999998;-2.084696770175985;21.224999999999998;1988-10-31
74.60000000000001;2.8801219942316356;74.60000000000001;1988-11-30
62.875;0.64280311129166;62.875;1988-12-31
55.525;-1.5468960371011082;55.525;1989-01-31
17.25;-3.4593960415967717;17.25;1989-02-28
63.1;-3.1547664080945683;63.1;1989-03-31
238.875;0.2176806913331263;238.875;1989-04-30
161.375;-2.0802683469674337;161.375;1989-05-31
309.5;0.02689360009081771;309.5;1989-06-30
375.45;2.2941331536953835;375.45;1989-07-31
214.875;1.848285736230544;214.875;1989-08-31
21.4;-3.0812332294748583;21.4;1989-09-30
52.975;1.1844682559187618;52.975;1989-10-31
41.04;0.3946223963225561;41.04;1989-11-30
95.75;2.3734240692003366;95.75;1989-12-31
