mon_pluviometrico_hist_chuva_mm;RAI;SPI;Data
52.035714285714285;-0.4252498405924882;52.035714285714285;1981-09-30
7.9;-2.9353528856295323;7.9;1981-10-31
51.4551724137931;1.6219337793922757;51.4551724137931;1981-11-30
150.42068965517242;8.083980549500692;150.42068965517242;1981-12-31
54.31666666666666;-0.7945271820072107;54.31666666666666;1982-01-31
113.25333333333333;1.7224350004175886;113.25333333333333;1982-02-28
54.019999999999996;-2.7459128203193908;54.019999999999996;1982-03-31
130.80333333333334;-0.7923616467746423;130.80333333333334;1982-04-30
280.63;1.9506547604469873;280.63;1982-05-31
247.49;0.46603865247883064;247.49;1982-06-30
142.8;-2.0748377211268765;142.8;1982-07-31
111.84333333333333;-0.29371347485664473;111.84333333333333;1982-08-31
100.3142528735632;2.08543783082974;100.3142528735632;1982-09-30
14.093333333333334;-2.108221750458235;14.093333333333334;1982-10-31
20.4;-1.1069562682009901;20.4;1982-11-30
42.36333333333333;0.3844041346959298;42.36333333333333;1982-12-31
33.95;-2.0444708625228523;33.95;1983-01-31
130.69666666666666;2.5233632409970204;130.69666666666666;1983-02-28
233.14;3.196377581278446;233.14;1983-03-31
52.56333333333333;-3.307042353483962;52.56333333333333;1983-04-30
163.45333333333332;-0.7147197437394828;163.45333333333332;1983-05-31
109.8;-2.739855636034145;109.8;1983-06-30
119.34333333333333;-2.799461451529483;119.34333333333333;1983-07-31
109.43333333333334;-0.42101207868316853;109.43333333333334;1983-08-31
27.740000000000002;-2.3044004539934035;27.740000000000002;1983-09-30
68.30666666666667;3.60783436741478;68.30666666666667;1983-10-31
10.996666666666666;-2.2616873995742597;10.996666666666666;1983-11-30
11.84;-2.4101878800106116;11.84;1983-12-31
102.90322580645162;1.4565709526831931;102.90322580645162;1984-01-31
20.073118279569893;-2.9195063124213814;20.073118279569893;1984-02-29
76.2;-1.854446579323378;76.2;1984-03-31
269.16333333333336;3.3283019731828283;269.16333333333336;1984-04-30
292.61;2.208331899048818;292.61;1984-05-31
129.83870967741936;-2.264372692126531;129.83870967741936;1984-06-30
323.90322580645164;2.862904749684535;323.90322580645164;1984-07-31
208.5225806451613;3.9961971009748187;208.5225806451613;1984-08-31
66.29677419354839;0.4271722536106617;66.29677419354839;1984-09-30
50.96333333333333;1.9795263403018846;50.96333333333333;1984-10-31
30.313333333333333;0.06615851908495736;30.313333333333333;1984-11-30
3.703333333333333;-3.1906113580354822;3.703333333333333;1984-12-31
49.0551724137931;-1.1174357658753946;49.0551724137931;1985-01-31
165.49666666666667;4.121240334757631;165.49666666666667;1985-02-28
274.45666666666665;4.388280365132425;274.45666666666665;1985-03-31
248.94;2.736347661777393;248.94;1985-04-30
169.72;-0.5456165901305801;169.72;1985-05-31
209.7655172413793;-0.36785169005454144;209.7655172413793;1985-06-30
328.99666666666667;2.9908858042342956;328.99666666666667;1985-07-31
126.21666666666667;0.3865029053618867;126.21666666666667;1985-08-31
52.23;-0.4102228232806448;52.23;1985-09-30
7.456666666666667;-2.9945608732386724;7.456666666666667;1985-10-31
17.84;-1.4213247577063681;17.84;1985-11-30
33.76;-0.30774429480309423;33.76;1985-12-31
61.59655172413793;-0.3477458568451912;61.59655172413793;1986-01-31
106.86206896551724;1.4289736517537461;106.86206896551724;1986-02-28
257.9035714285714;3.910756840428453;257.9035714285714;1986-03-31
276.4551724137931;3.54174035698468;276.4551724137931;1986-04-30
201.92758620689656;0.2578490186052438;201.92758620689656;1986-05-31
288.9068965517241;1.3346405007728903;288.9068965517241;1986-06-30
308.67931034482757;2.480378907404938;308.67931034482757;1986-07-31
165.00674603174605;2.0877211722300166;165.00674603174605;1986-08-31
87.58275862068966;1.464809862934339;87.58275862068966;1986-09-30
50.310344827586206;1.9182194159013177;50.310344827586206;1986-10-31
130.41034482758621;7.432048190309779;130.41034482758621;1986-11-30
64.52142857142857;1.963268853393058;64.52142857142857;1986-12-31
59.58148148148148;-0.47141480851148665;59.58148148148148;1987-01-31
87.83214285714286;0.5551954039224701;87.83214285714286;1987-02-28
183.2206896551724;1.7563058192436567;183.2206896551724;1987-03-31
207.19310344827585;1.5143801950760685;207.19310344827585;1987-04-30
62.12068965517241;-3.4491351069582388;62.12068965517241;1987-05-31
196.4206896551724;-0.6845007163029402;196.4206896551724;1987-06-30
196.7793103448276;-0.4073079828877563;196.7793103448276;1987-07-31
73.63793103448276;-2.311760931816955;73.63793103448276;1987-08-31
33.87241379310345;-1.8300892645621694;33.87241379310345;1987-09-30
27.424137931034483;-0.3278681111186279;27.424137931034483;1987-10-31
7.375862068965517;-2.7063228965170087;7.375862068965517;1987-11-30
3.6392857142857142;-3.1967544468043907;3.6392857142857142;1987-12-31
45.15862068965517;-1.3565750557308054;45.15862068965517;1988-01-31
37.94137931034483;-1.982397255790984;37.94137931034483;1988-02-29
186.34444444444443;1.8464198659417734;186.34444444444443;1988-03-31
248.5142857142857;2.723886639516533;248.5142857142857;1988-04-30
154.825;-0.9475513996525909;154.825;1988-05-31
186.17407407407407;-0.9276346815143021;186.17407407407407;1988-06-30
347.7518518518518;3.462140589388457;347.7518518518518;1988-07-31
80.76666666666667;-1.9352140052503974;80.76666666666667;1988-08-31
46.592592592592595;-0.846247772497693;46.592592592592595;1988-09-30
17.582142857142856;-1.6422847781506458;17.582142857142856;1988-10-31
35.72857142857143;0.46465239774813455;35.72857142857143;1988-11-30
43.20357142857143;0.4442749074145127;43.20357142857143;1988-12-31
65.4;-0.11432051462349331;65.4;1989-01-31
20.833333333333336;-2.8796364890154273;20.833333333333336;1989-02-28
